class,mr,run,AO_live,AO_killed,RO_live,RO_killed,CO_live,CO_killed,SO_live,SO_killed,LO_live,LO_killed,AS_live,AS_killed,DL_live,DL_killed,total_timeouts,total_exceptions,total_live,total_killed,error_score,mutant_score
MethodsFromColt,add,1,4,70,0,5,1,0,0,0,0,8,0,4,1,27,0,0,6,114,Infinity,0.95
MethodsFromColt,add,2,2,55,2,15,0,3,0,0,1,8,0,0,0,17,0,0,5,98,Infinity,0.95
MethodsFromColt,add,3,5,81,0,5,0,1,0,0,1,7,0,12,4,30,0,0,10,136,Infinity,0.93
MethodsFromColt,add,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,5,10,121,1,4,0,1,0,0,1,6,1,7,7,52,0,0,20,191,Infinity,0.91
MethodsFromColt,add,6,1,25,1,11,0,2,0,0,0,4,0,0,0,9,0,0,2,51,Infinity,0.96
MethodsFromColt,add,7,0,29,0,5,0,1,0,0,0,3,0,4,0,13,0,0,0,55,Infinity,1.00
MethodsFromColt,add,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,9,0,11,0,5,0,1,0,0,0,2,0,4,0,5,0,0,0,28,Infinity,1.00
MethodsFromColt,add,10,7,87,1,13,0,2,0,0,0,9,0,0,3,34,0,0,11,145,Infinity,0.93
MethodsFromColt,add,11,13,137,0,0,0,0,0,0,1,10,0,0,6,60,0,0,20,207,Infinity,0.91
MethodsFromColt,add,12,9,70,0,0,0,0,0,0,0,5,0,0,1,29,0,0,10,104,Infinity,0.91
MethodsFromColt,add,13,1,46,0,5,0,1,0,0,0,3,0,4,0,20,0,0,1,79,Infinity,0.99
MethodsFromColt,add,14,0,12,0,5,0,1,0,0,0,3,0,4,1,3,0,0,1,28,Infinity,0.97
MethodsFromColt,add,15,2,36,0,5,0,1,0,0,1,2,0,8,0,15,0,0,3,67,Infinity,0.96
MethodsFromColt,add,16,8,58,3,14,0,2,0,0,1,11,0,0,0,21,0,0,12,106,Infinity,0.90
MethodsFromColt,add,17,6,100,2,13,0,3,0,0,1,16,1,11,5,36,0,0,15,179,Infinity,0.92
MethodsFromColt,add,18,3,118,0,10,0,2,0,0,0,11,0,12,4,45,0,0,7,198,Infinity,0.97
MethodsFromColt,add,19,7,59,1,9,0,2,0,0,0,12,0,8,4,21,0,0,12,111,Infinity,0.90
MethodsFromColt,add,20,6,140,0,10,0,2,0,0,0,18,0,16,3,52,0,0,9,238,Infinity,0.96
MethodsFromColt,add,21,1,27,0,5,0,1,0,0,0,3,0,0,1,9,0,0,2,45,Infinity,0.96
MethodsFromColt,add,22,5,108,1,9,1,1,0,0,0,11,1,11,2,40,0,0,10,180,Infinity,0.95
MethodsFromColt,add,23,5,77,1,9,1,1,0,0,0,11,1,7,1,29,0,0,9,134,Infinity,0.94
MethodsFromColt,add,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,25,1,21,0,5,0,1,0,0,0,4,1,3,0,11,0,0,2,45,Infinity,0.96
MethodsFromColt,add,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,27,1,13,1,4,0,1,0,0,0,5,0,0,0,2,0,0,2,25,Infinity,0.93
MethodsFromColt,add,28,1,17,2,3,0,1,0,0,0,5,0,0,1,5,0,0,4,31,Infinity,0.89
MethodsFromColt,add,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,1,0,74,0,5,0,1,0,0,0,8,0,4,0,28,0,0,0,120,Infinity,1.00
MethodsFromColt,add,2,1,57,0,16,0,3,0,0,1,7,0,0,0,14,0,0,2,97,Infinity,0.98
MethodsFromColt,add,3,0,86,0,5,0,1,0,0,0,8,0,12,1,33,0,0,1,145,Infinity,0.99
MethodsFromColt,add,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,5,1,132,0,5,0,1,0,0,0,7,0,8,0,58,0,0,1,211,Infinity,1.00
MethodsFromColt,add,6,1,26,0,12,0,2,0,0,0,4,0,0,0,9,0,0,1,53,Infinity,0.98
MethodsFromColt,add,7,0,29,0,5,0,1,0,0,0,3,0,4,0,13,0,0,0,55,Infinity,1.00
MethodsFromColt,add,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,9,0,11,1,4,0,1,0,0,0,2,1,3,0,5,0,0,2,26,Infinity,0.93
MethodsFromColt,add,10,1,93,0,14,0,2,0,0,0,9,0,0,0,37,0,0,1,155,Infinity,0.99
MethodsFromColt,add,11,3,147,0,0,0,0,0,0,0,11,0,0,2,64,0,0,5,222,Infinity,0.98
MethodsFromColt,add,12,1,78,0,0,0,0,0,0,0,5,0,0,0,30,0,0,1,113,Infinity,0.99
MethodsFromColt,add,13,0,47,0,5,0,1,0,0,0,3,0,4,0,20,0,0,0,80,Infinity,1.00
MethodsFromColt,add,14,0,12,0,5,0,1,0,0,0,3,0,4,0,4,0,0,0,29,Infinity,1.00
MethodsFromColt,add,15,1,37,0,5,0,1,0,0,0,3,0,8,0,15,0,0,1,69,Infinity,0.99
MethodsFromColt,add,16,1,64,0,17,0,2,0,0,0,12,0,0,0,22,0,0,1,117,Infinity,0.99
MethodsFromColt,add,17,4,102,0,15,0,3,0,0,0,17,0,12,0,41,0,0,4,190,Infinity,0.98
MethodsFromColt,add,18,0,121,0,10,0,2,0,0,0,11,0,12,1,48,0,0,1,204,Infinity,1.00
MethodsFromColt,add,19,3,63,0,10,0,2,0,0,0,12,1,7,0,25,0,0,4,119,Infinity,0.97
MethodsFromColt,add,20,1,145,0,10,0,2,0,0,0,18,0,16,0,55,0,0,1,246,Infinity,1.00
MethodsFromColt,add,21,2,26,0,5,0,1,0,0,0,3,0,0,0,10,0,0,2,45,Infinity,0.96
MethodsFromColt,add,22,0,113,0,10,0,2,0,0,0,11,0,12,0,42,0,0,0,190,Infinity,1.00
MethodsFromColt,add,23,0,82,0,10,0,2,0,0,0,11,0,8,1,29,0,0,1,142,Infinity,0.99
MethodsFromColt,add,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,25,0,22,0,5,0,1,0,0,0,4,0,4,0,11,0,0,0,47,Infinity,1.00
MethodsFromColt,add,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,27,0,14,0,5,0,1,0,0,0,5,0,0,0,2,0,0,0,27,Infinity,1.00
MethodsFromColt,add,28,0,18,0,5,0,1,0,0,0,5,0,0,0,6,0,0,0,35,Infinity,1.00
MethodsFromColt,add,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,1,1,73,1,4,0,1,0,0,0,8,0,4,1,27,0,0,3,117,Infinity,0.97
MethodsFromColt,add,2,7,54,2,15,1,2,0,0,0,8,0,0,2,13,0,0,12,92,Infinity,0.88
MethodsFromColt,add,3,0,86,0,5,0,1,0,0,0,8,1,11,1,33,0,0,2,144,Infinity,0.99
MethodsFromColt,add,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
MethodsFromColt,add,5,7,124,0,5,0,1,0,0,1,6,2,6,3,55,0,0,13,197,Infinity,0.94
MethodsFromColt,add,6,1,25,0,12,0,2,0,0,0,4,0,0,1,8,0,0,2,51,Infinity,0.96
MethodsFromColt,add,7,0,29,1,4,0,1,0,0,0,3,1,3,0,13,0,0,2,53,Infinity,0.96
MethodsFromColt,add,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
